eta,beta_a,beta_s
0.112719797534426,0.233417962483063,0.559661892096298
0.119719753876604,0.225018603564294,0.590014871548004
0.119719753876604,0.225018603564294,0.590014871548004
0.14822692498893,0.297999003322014,0.596467607754565
0.163894753150112,0.270591244997938,0.679027195686343
0.176471535129672,0.222882140499389,0.714823364035242
0.161319333421317,0.403615320935999,0.582694748318151
0.161258133878501,0.401221245454048,0.583857839351459
0.161706362850764,0.567276167130854,0.489560066655031
0.137376158198012,0.361526579446184,0.53541534944535
0.068960884353772,0.407374145556184,0.353427881637939
0.086790507172497,0.460286962508905,0.364950960312206
0.129109224385978,0.667818911107714,0.34603854760908
0.117390086653689,0.64060993079512,0.322242360159009
0.099240793630793,0.599407523455319,0.319598138935638
0.165475994297678,0.875602552138266,0.313106009481827
0.12872309131796,0.71390225182326,0.334765770439244
0.102408024379901,0.25479524398528,0.50389847197547
0.118727093194017,0.358539140804376,0.490678940823281
0.166068698935478,0.5884750581055,0.471951598308402
0.166068698935478,0.5884750581055,0.471951598308402
0.094355263495619,0.299650769454649,0.471839547993871
0.094355263495619,0.299650769454649,0.471839547993871
0.177131491734253,0.832241890308609,0.354813093199146
0.181472709002166,0.735897969748897,0.447835137495924
0.104073767408543,0.232055879817266,0.539053751477868
0.178275918726013,0.717429734161769,0.426218853933482
0.140888380752848,0.572573805956379,0.43204405610509
0.152541650333942,0.630755291493139,0.426834574362023
0.134105370536947,0.457353037754487,0.471339302951789
0.140811402416998,0.067210334745326,0.746347061430896
0.140811402416998,0.067210334745326,0.746347061430896
0.194130465072186,0.985058730495548,0.328457473485969
0.215338253712432,0.9102156190294,0.423770633986969
0.113028163143263,0.419219889922962,0.44708327040067
0.106889956696493,0.39363545188416,0.445826405658961
0.105359110502248,0.341483610334346,0.485405210362657
0.121493117336056,0.410363775560491,0.476822028348766
0.177264940374415,0.731460603133888,0.429551950562138
0.176898883693069,0.585556458928264,0.497688204414387
0.147660808326991,0.362320567220231,0.559731936177633
0.144272710712193,0.519738790780606,0.455838354180111
0.088174344188408,0.136105016749333,0.640358923596842
0.226642566063964,0.836066023930078,0.4834623527851
0.165487624607474,0.556575004325543,0.477630339802377
0.160539615801949,0.683584172360398,0.407334588903652
0.129789865258658,0.479873973591317,0.45232746781286
0.128893215613496,0.384067168132677,0.508776952883579
0.149198302528301,0.647839781583115,0.397603242476494
0.139291112079077,0.262003211377593,0.610909668269631
0.120997353794329,0.281590207738554,0.550335951246508
0.093444882339323,0.091876586968767,0.591124955027177
0.190388906449522,0.818660141773575,0.393595515325685
0.184366884539657,0.590825392756945,0.520994739461808
0.184435633135688,0.581537720904835,0.51567621710288
0.170455369973096,0.738334264162972,0.39099662437099
0.206893353761727,0.804610104136975,0.437823868175601
0.226964492031499,0.845521714234394,0.474023400602728
0.122286218313158,0.619523756383785,0.358129462017339
